Nancy,Hallman ,Bill hallman boutique,Www.billhallman.com ,Jewelry - non juried,319
Eric,Hicks,The Black Pearl,www.theblackpearljewelry.com ,Jewelry - non juried,321
RITA,HOUSTON,RITA HOUSTON,,Jewelry - non juried,541
shahnaz,Hughson,Boho-Gal,www.boho-gal.com,Jewelry - non juried,333
Carolina,Isea,Isea Designs,www.iseadesigns.etsy.com,Jewelry - non juried,334
 Ann ,Jalsa,In The Beginning Jewelry,,Jewelry - non juried,512
Camille,Kohler,cameoko,https://www.cameoko.com ,Jewelry - non juried,347
Brett,Lacy,,https://www.etsy.com/shop/TheShedStudios ,Jewelry - non juried,353
Amy,Leff,,www.throwingstarsjewelry.com ,Jewelry - non juried,517
Larry,Levey,fantasy treasures,,Jewelry - non juried,476
Lynn,Lommer,,,Jewelry - non juried,535
Kelcey ,Loomer,Seed & Sky,www.seedandsky.com ,Jewelry - non juried,356
Rochelle,Nation,Rochelle Nation Jewelry,www.rochellenation.com ,Jewelry - non juried,610
Amy,Pieroni,EcoManiacs Sustainable Jewelry,www.facebook.com/amypieronidesigns,Jewelry - non juried,479
Caroline,Sandlin,Caroline Sandlin Jewelry,www.carolinesandlin.etsy.com ,Jewelry - non juried,612
Talia,Sapp,Talia Serinese Designs,www.taliaserinese.etsy.com ,Jewelry - non juried,547
Katherine,Smith,Katherine Smith Jewelry,www.katherinesmithjewelry.com ,Jewelry - non juried,515
Valerie,Stickles,PenguinArts,www.penguinartsjewelry.com ,Jewelry - non juried,543
Jennifer,Timmins,,www.gibcobracelets.com,Jewelry - non juried,514
Courtney,Weil,,www.craftsandlove.com ,Jewelry - non juried,554
Hannah,Wood,,www.blackblackmoon.com ,Jewelry - non juried,410
Dawn,Woods,DW Jewelry Designs LLC,www.dwjewelrydesigns.com ,Jewelry - non juried,412
harry,zajlo,,,Jewelry - non juried,"444,446,448"
Paul,Aude,Paul Aude Leather Handbags & Accessories,www.audeandamy.com ,Leather - non juried,598
Nancy,Beebe,Southern Charm Cuffs,https://www.etsy.com/shop/SouthernCharmCuffs ,Leather - non juried,533
Branson,Bennett,Branson's Designs,,Leather - non juried,604
Jenelle,Chawla,Alayah Noelle,www.alayahnoelle.com ,Leather - non juried,588
Meg,Councilman,Margaret Vera,https://www.etsy.com/shop/MargaretVera ,Leather - non juried,399
Meredith,Limoges,Beaudin,www.beaudindesigns.com ,Leather - non juried,329
Becky,Minchew,,https://m.facebook.com/beckybuilt/ ,Leather - non juried,377
Jose,Montemoino,Tainos Hidden Treasures,www.tainoshiddentrweasures.weebly.com,Leather - non juried,425
Wayne,Dorn,Yardbirds,,Metalwork - juried,"125,127"
William,Staubach,Daylight Designs,,Metalwork - juried,"103,105"
tarik,berbey,four corners of the world,,Metalwork - non juried,473
jean,grobe,N-Vites,www.weatheredblessings.com,Metalwork - non juried,400
gerry,hrycuna,the lazy scroll,www.thelazyscroll.com ,Metalwork - non juried,567
Dean,Olaya,Block & Hammer,www.blockandhammer.etsy.com,Metalwork - non juried,478
Brandon,Spangler,BE Creations and Designs INC,www.beoutfitters.com ,Metalwork - non juried,538
Anja,Squire,Klinker Closet,www.klinkercloset.com ,Metalwork - non juried,614
Dave,Wilson,Piedmont Gardens,,Metalwork - non juried,510
Pat,McNeely,pat mcneely DESIGN,www.Patmcneely.com,Mixed media - juried,"165,167"
Chris,Oaks,Twin Oaks Hammocks,www.twinoakstore.com,Mixed media - juried,"160,162"
Elexa,Bancroft,,www.lexiconoflove.etsy.com ,Mixed media - non juried,403
Sushma,Barakoti,Sunavworld,www.sunavworld.com ,Mixed media - non juried,401
Juan/Daniel,Barreneche/Schemel,D3F CO LLC,,Mixed media - non juried,308
Sean,Barry,Sean Barry Arts,www.seanbarryarts.com,Mixed media - non juried,314
Christina,Bonaccorse,Rhen's Nest Toy Shop,www.rhensnesttoyshop.com ,Mixed media - non juried,532
Carrie,Bowie,,,Mixed media - non juried,559
Gene,Brighton,Gene Brighton,,Mixed media - non juried,411
Rachel,Britt,Gnarly Gnarwhals,www.instagram.com/rachilla,Mixed media - non juried,463
andric,calquhoun,,,Mixed media - non juried,360
Jay,Carlson,,,Mixed media - non juried,359
Tom,Chambers,,www.branchingoutart.weebly.com ,Mixed media - non juried,507
SharAnne,Coan,,,Mixed media - non juried,370
Alison,Cohn,Love Alison,www.LoveAlison.com ,Mixed media - non juried,443
Shannon,Daniel,Quite a Pair Keepsakes,www.quiteapairkeepsakes.com ,Mixed media - non juried,328
Sheron,Davis,Earth Spirit Art and Glass,www.earthspiritartandglass.blogspot.com,Mixed media - non juried,459
Mari,Davis,CLIMB Handmade,http://thebeehiveatl.com/collections/climb ,Mixed media - non juried,523
Peggy,Douglass,Honeysuckle Soap,www.honeysucklesoap.com ,Mixed media - non juried,539
Kay,Edenfield,misskayart,,Mixed media - non juried,390
Lynnie,Evans,Lynnie's art,www.Lynniesart.com,Mixed media - non juried,397
Jordan,Fripp,frippdesign,www.frippdesign.com/store ,Mixed media - non juried,374
colleen,Greise,Mastercard,,Mixed media - non juried,394
Bonnie,Hall,Petals and Treats,www.petalsandtreats.com ,Mixed media - non juried,373
Kenny,Hoff,,www.thetinmanart.com ,Mixed media - non juried,"593,595"
Sandy,hurlbutt,Country Junction Soaps,www.countryjunctionsoaps.com,Mixed media - non juried,549
Algie,Jones,Algie's Vintage Birdhouses,,Mixed media - non juried,472
Tim,Lee,,www.timleeartwork.com ,Mixed media - non juried,355
Pete,Lesiewicz,Country Americana Antiques,,Mixed media - non juried,396
Jamie,Manangan,Map of Home,www.mapofhome.etsy.com ,Mixed media - non juried,421
Chris,Mason,Chris Mason Photography,www.chrismasonphoto.com ,Mixed media - non juried,395
Hannah,McEntire,,www.hannahmcentire.com ,Mixed media - non juried,371
shinita,mckenzie,Wine Bottle Wicks,,Mixed media - non juried,375
Sarah,Melancon,Third Half Studios,www.thirdhalfstudios.com ,Mixed media - non juried,576
john,mosses,personslized wood mats,,Mixed media - non juried,475
Carrie,Myers,"Pettigrew, Myers, and Company",www.pettigrewandmyers.blogspot.com,Mixed media - non juried,345
Meghan,Paine,,www.ironheartworkshops.etsy.com,Mixed media - non juried,482
Mona ,Patel,MDC,www.etsy.com/shop/monadoesconcrete ,Mixed media - non juried,423
John,Paul,Fuzzy Ink,http://www.fuzzy-ink.com/ ,Mixed media - non juried,511
Demone,Phelps,,www.demonephelps.com,Mixed media - non juried,431
Rob,Rhoton,C R stuff,,Mixed media - non juried,312
florence,rice,Handwoven Creations,,Mixed media - non juried,493
